MovieID,Title,YearOfRelease,Genre1,Genre2,Genre3,Actor1,Actor2,Actor3,Director1,Director2,Writer1,Writer2,Production Company,Country,Language,Duration
20,Seeta Aur Geeta,1972,Comedy, Drama, Family,Dharmendra, Sanjeev Kumar, Hema Malini,Ramesh Sippy,,Javed Akhtar, Javed Akhtar,NH Studioz,India,Hindi,162
22,Chump Change,2000,Comedy, Romance,,Stephen Burrows, Tim Matheson, Traci Lords,Stephen Burrows,,Stephen Burrows,,The Burrows of Hollywood,USA,English,89
26,Never Die Alone,2004,Action, Crime, Drama,DMX, Michael Ealy, Drew Sidora,Ernest R. Dickerson,,Donald Goines, James Gibson,Bloodline Films,USA,English,88
42,Searching for Paradise,2002,Drama,,,Susan May Pratt, Chris Noth, Jeremy Davies,Myra Paci,,Myra Paci,,Centre Street,USA,English,88
55,Jade,1995,Crime, Drama, Thriller,David Caruso, Linda Fiorentino, Chazz Palminteri,William Friedkin,,Joe Eszterhas,,Paramount Pictures,USA,English,95
58,Dragonheart,1996,Action, Adventure, Fantasy,Dennis Quaid, David Thewlis, Pete Postlethwaite,Rob Cohen,,Patrick Read Johnson, Charles Edward Pogue,Universal Pictures,USA,English,103
65,Lost in the Pershing Point Hotel,2000,Comedy, Drama,,Leslie Jordan, Erin Chandler, Mark Pellegrino,Julia Jay Pierrepont III,,Leslie Jordan, Leslie Jordan,Pershing Point Productions,USA,English,107
75,Grind,1997,Drama, Romance,,Billy Crudup, Adrienne Shelly, Paul Schulze,Chris Kentis,,Laura Lau, Chris Kentis,Kodiak Productions LLC,USA,English,96
77,Congo,1995,Action, Adventure, Mystery,Laura Linney, Dylan Walsh, Ernie Hudson,Frank Marshall,,Michael Crichton, John Patrick Shanley,Paramount Pictures,USA,"English, American Sign Language",109
83,Silkwood,1983,Biography, Drama, History,Meryl Streep, Kurt Russell, Cher,Mike Nichols,,Nora Ephron, Alice Arlen,ABC Motion Pictures,USA,English,131
108,Spartan,2004,Action, Crime, Drama,Tia Texada, Derek Luke, Val Kilmer,David Mamet,,David Mamet,,Franchise Pictures,"Germany, USA","English, Russian, Swedish",106
123,Chain of Fools,2000,Comedy, Crime,,Steve Zahn, Salma Hayek, Jeff Goldblum,Pontus Löwenhielm, Patrick von Krusenstjerna,Bix Skahill,,Bel Air Entertainment,USA,English,98
127,Fatal Beauty,1987,Action, Comedy, Crime,Whoopi Goldberg, Sam Elliott, Rubén Blades,Tom Holland,,Bill Svanoe, Hilary Henkin,Metro-Goldwyn-Mayer (MGM),"USA, Japan",English,104
128,Mr. Vampire,1985,Action, Comedy, Fantasy,Ching-Ying Lam, Siu-Ho Chin, Ricky Hui,Ricky Lau,,Ricky Lau, Cheuk-Hon Szeto,Bo Ho Film Company Ltd.,Hong Kong,Cantonese,96
130,Drowning on Dry Land,1999,Drama,,,Barbara Hershey, Naveen Andrews, Carol Lynley,Carl Colpaert,,Julie Jacobs, Julie Jacobs,Cineville,USA,English,88
134,Spirit Lost,1996,Drama, Horror,,James Avery, Deacon Dawson, Yvonne Erickson,Neema Barnette,,Joyce Renee Lewis, Shirley Pierce,The Black Entertainment Network,USA,English,90
137,Naked Lies,1998,Action, Crime, Drama,Shannon Tweed, Fernando Allende, Jay Baker,Ralph E. Portillo,,D. Alvelo, Jalee Bailey,Hemisferio Films,"USA, Mexico",English,93
161,Ninotchka,1939,Comedy, Romance,,Greta Garbo, Melvyn Douglas, Ina Claire,Ernst Lubitsch,,Charles Brackett, Billy Wilder,Metro-Goldwyn-Mayer (MGM),USA,"English, Russian",110
164,One Last Dance,2003,Drama, Romance,,Patrick Swayze, Lisa Niemi, George De La Pena,Lisa Niemi,,Lisa Niemi,,Minds Eye Entertainment,Canada,English,101
165,Richard Pryor: Live on the Sunset Strip,1982,Comedy,,,Richard Pryor,,,Joe Layton,,Richard Pryor,,Columbia Pictures,USA,English,82
168,Smokey and the Bandit Part 3,1983,Action, Comedy, Crime,Jackie Gleason, Jerry Reed, Paul Williams,Dick Lowry,,Stuart Birnbaum, David Dashev,Universal Pictures,USA,"English, Spanish",85
170,Tomorrow,1972,Drama,,,Robert Duvall, Olga Bellin, Sudie Bond,Joseph Anthony,,William Faulkner, Horton Foote,Castle Hill Productions,USA,English,103
225,The Cookout,2004,Comedy,,,Ja Rule, Tim Meadows, Jenifer Lewis,Lance Rivera,,Queen Latifah, Shakim Compere,Cookout Productions,USA,English,97
245,Road Dogz,2002,Crime, Drama,,Clifton Collins Jr., Greg Serano, Jacob Vargas,Alfredo Ramos,,Alfredo Ramos,,Shooting Star Pictures,USA,English,91
247,Oleanna,1994,Drama, Thriller,,William H. Macy, Debra Eisenstadt,,David Mamet,,David Mamet, David Mamet,Bay Kinescope,"UK, USA",English,89
252,Stuart Little 2,2002,Animation, Adventure, Comedy,Michael J. Fox, Geena Davis, Hugh Laurie,Rob Minkoff,,E.B. White, Douglas Wick,Columbia Pictures,USA,English,77
254,Westender,2003,Drama, Fantasy,,Blake Stadel, Rob Simonsen, John Rankin,Brock Morse,,Jefferson O.S. Brassfield, Brock Morse,M.O.B Productions,USA,English,105
258,Mann,1999,Drama, Romance,,Aamir Khan, Manisha Koirala, Sharmila Tagore,Indra Kumar,,Aatish Kapadia, Aatish Kapadia,,India,Hindi,160
268,The Final Countdown,1980,Action, Sci-Fi,,Kirk Douglas, Martin Sheen, Katharine Ross,Don Taylor,,Thomas Hunter, Peter Powell,Bryna Productions,USA,"English, Japanese, Russian",103
274,Crazy as Hell,2002,Drama, Thriller,,Michael Beach, Ronny Cox, Sinbad,Eriq La Salle,,Jeremy Leven, Jeremy Leven,Humble Journey Films,USA,English,113
275,Evelyn,2002,Drama,,,Sophie Vavasseur, Niall Beagan, Hugh McDonagh,Bruce Beresford,,Paul Pender,,First Look International,"USA, Germany, Ireland, UK, Netherlands",English,94
294,Oasis,2002,Drama, Romance,,Kyung-gu Sol, So-Ri Moon, Nae-sang Ahn,Chang-dong Lee,,Chang-dong Lee,,Dream Venture Capital,South Korea,Korean,133
297,The Hebrew Hammer,2003,Comedy,,,Adam Goldberg, Judy Greer, Andy Dick,Jonathan Kesselman,,Jonathan Kesselman,,Intrinsic Value Films,USA,"English, Hebrew, Yiddish",85
305,Jack,1996,Comedy, Drama, Fantasy,Robin Williams, Diane Lane, Brian Kerwin,Francis Ford Coppola,,James DeMonaco, Gary Nadeau,Hollywood Pictures,USA,"English, Spanish",113
311,Ed Wood,1994,Biography, Comedy, Drama,Johnny Depp, Martin Landau, Sarah Jessica Parker,Tim Burton,,Rudolph Grey, Scott Alexander,Touchstone Pictures,USA,English,127
320,Eat Your Heart Out,1997,Comedy, Drama,,Christian Oliver, Pamela Adlon, Laura San Giacomo,Felix O. Adlon,,Felix O. Adlon, Laura Slakey,Leora Films,"Germany, USA",English,93
321,Ju-Rei: The Uncanny,2004,Horror,,,Chinatsu Wakatsuki, Miku Ueno, Eriko Ichinohe,Kôji Shiraishi,,Naoyuki Yokota,,Nihon Sky Way (NSW),Japan,Japanese,76
322,Flesh Gordon,1974,Comedy, Sci-Fi,,Jason Williams, Suzanne Fields, Joseph Hudgins,Michael Benveniste, Howard Ziehm,Michael Benveniste,,Graffiti Productions,USA,English,78
329,Dogma,1999,Adventure, Comedy, Drama,Bud Cort, Barret Hackney, Jared Pfennigwerth,Kevin Smith,,Kevin Smith,,View Askew Productions,USA,English,130
335,Fear No Evil,1981,Horror,,,Stefan Arngrim, Elizabeth Hoffman, Kathleen Rowe McAllen,Frank LaLoggia,,Frank LaLoggia,,LaLoggia Productions,USA,English,99
337,Star 80,1983,Biography, Drama,,Mariel Hemingway, Eric Roberts, Cliff Robertson,Bob Fosse,,Teresa Carpenter, Bob Fosse,The Ladd Company,"USA, West Germany",English,103
369,Playing Mona Lisa,2000,Comedy,,,Alicia Witt, Harvey Fierstein, Brooke Langton,Matthew Huffman,,Marni Freedman, Marni Freedman,The Bubble Factory,USA,English,97
372,Jeans,1998,Comedy, Drama, Romance,Prashanth, Aishwarya Rai Bachchan, Nassar,S. Shankar,,S. Shankar,,Amritraj Solomon Communications,India,Tamil,175
378,Party Monster,2003,Biography, Crime, Drama,Seth Green, Macaulay Culkin, Diana Scarwid,Fenton Bailey, Randy Barbato,Fenton Bailey, Randy Barbato,World of Wonder Productions,"USA, Netherlands",English,98
400,Rio Lobo,1970,Adventure, Romance, War,John Wayne, Jorge Rivero, Jennifer O'Neill,Howard Hawks,,Burton Wohl, Leigh Brackett,Cinema Center Films,"USA, Mexico","English, Spanish",114
402,Pan Tadeusz,1999,Drama, History, Romance,Boguslaw Linda, Daniel Olbrychski, Grazyna Szapolowska,Andrzej Wajda,,Adam Mickiewicz, Jan Nowina-Zarzycki,Apollo Film,"Poland, France",Polish,147
406,Hostage,2005,Action, Crime, Drama,Bruce Willis, Kevin Pollak, Jimmy Bennett,Florent-Emilio Siri,,Robert Crais, Doug Richardson,Miramax,"USA, Germany",English,113
407,The Abductors,1972,Action, Drama,,Cheri Caffaro, Richard Smedley, Patrick Wright,Don Schain,,Don Schain,,Derio,USA,English,90
413,Igby Goes Down,2002,Comedy, Drama,,Kieran Culkin, Claire Danes, Jeff Goldblum,Burr Steers,,Burr Steers,,United Artists,USA,English,98
416,Elephant,2003,Crime, Drama, Thriller,Alex Frost, Eric Deulen, John Robinson,Gus Van Sant,,Gus Van Sant,,HBO Films,USA,"English, German",81
424,Happiness,1998,Comedy, Drama,,Jane Adams, Jon Lovitz, Philip Seymour Hoffman,Todd Solondz,,Todd Solondz,,Good Machine,USA,"English, Russian",134
445,Michael Collins,1996,Biography, Drama, Thriller,Ian Hart, Julia Roberts, Richard Ingram,Neil Jordan,,Neil Jordan,,Warner Bros.,"UK, Ireland, USA",English,133
459,Basquiat,1996,Biography, Drama,,Jeffrey Wright, Michael Wincott, Benicio Del Toro,Julian Schnabel,,Lech Majewski, John Bowe,Eleventh Street Production,USA,"English, Spanish",107
460,Pink Narcissus,1971,Drama, Fantasy,,Don Brooks, Bobby Kendall,,James Bidgood,,James Bidgood,,La Folie des Hommes,USA,None,65
482,Frida,2002,Biography, Drama, Romance,Salma Hayek, Mía Maestro, Amelia Zapata,Julie Taymor,,Hayden Herrera, Clancy Sigal,Handprint Entertainment,"Mexico, USA, Canada","English, French, Russian",123
495,Mission Kashmir,2000,Action, Drama, Thriller,Sanjay Dutt, Hrithik Roshan, Preity Zinta,Vidhu Vinod Chopra,,Vikram Chandra, Vidhu Vinod Chopra,Destination Films,India,"Hindi, Urdu, English",154
499,Under Suspicion,2000,Crime, Drama, Thriller,Gene Hackman, Morgan Freeman, Thomas Jane,Stephen Hopkins,,John Wainwright, Claude Miller,Revelations Entertainment,"France, USA","English, Spanish, Italian",110
508,Saint Jack,1979,Drama,,,Ben Gazzara, Denholm Elliott, James Villiers,Peter Bogdanovich,,Howard Sackler, Paul Theroux,Copa del Oro,USA,"English, Cantonese, Dutch, French, Italian",112
524,Mumford,1999,Comedy, Drama,,Loren Dean, Hope Davis, Jason Lee,Lawrence Kasdan,,Lawrence Kasdan,,Touchstone Pictures,USA,English,112
529,Summer of the Monkeys,1998,Drama, Family,,Michael Ontkean, Leslie Hope, Wilford Brimley,Michael Anderson,,Wilson Rawls, Greg Taylor,The Edge Productions Corp.,Canada,English,101
553,Rangeela,1995,Comedy, Drama, Musical,Urmila Matondkar, Aamir Khan, Jackie Shroff,Ram Gopal Varma,,H. Banerjee, Sanjay Chhel,Jhamu Sughand Productions,India,Hindi,142
